Star,HD #,RA,DEC,Magn.,Sp. type,Tot. nb,1 year,2 months,Last,Obs Period
2 Ori,30739,+04 50 36.7,+08 54 00.6,4.35,A1Vne,61,1,0,9/2/2024 7:47,365
HD 32188,32188,+05 03 18.6,+41 26 29.9,6.12,A2IIIshe,31,1,0,3/2/2024 2:25,365
11 Cam,32343,+05 06 08.5,+58 58 20.5,5.03,B2.5Ve,73,4,2,12/31/2024 20:36,120
105 Tau,32991,+05 07 55.4,+21 42 17.4,5.92,B2Ve,62,7,3,12/26/2024 19:10,1
lam Eri,33328,+05 09 08.8,-08 45 14.7,4.25,B2IVne,240,5,2,12/29/2024 0:08,7
12 Aur,33988,+05 16 27.1,+46 24 57.8,6.95,B5e,63,3,0,11/13/2024 11:03,120
V1369 Ori,34959,+05 21 19.3,+04 00 43.0,6.52,B5Vpe,55,1,1,12/27/2024 23:33,120
eta Ori,35411,+05 24 28.6,-02 23 49.7,3.38,B0.5Ve,134,3,1,12/29/2024 0:46,90
25 Ori,35439,+05 24 44.8,+01 50 47.2,4.87,B1Vpe,84,3,0,9/10/2024 3:14,120
HD 36408,36408,+05 32 14.1,+17 03 29.2,6.06,B7IIIe,18,1,0,9/7/2024 2:17,365
120 Tau,36576,+05 33 31.6,+18 32 24.8,5.67,B2IVe,50,7,3,12/31/2024 21:08,1
43 Ori,37041,+05 35 22.9,-05 24 57.8,5.08,O9.5Vpe,26,2,1,12/28/2024 14:05,7
zet Tau,37202,+05 37 38.7,+21 08 33.2,3.03,B2IVe,867,24,5,12/31/2024 23:02,1
ome Ori,37490,+05 39 11.1,+04 07 17.3,4.57,B2IIIe,156,2,0,9/15/2024 7:31,365
HD 37971,37971,+05 41 41.5,-16 43 33.0,6.2,B4.5IIIe,19,1,0,3/25/2024 1:51,365
V731 Tau,37967,+05 43 19.5,+23 12 15.7,6.23,B2.5Ve,27,2,2,12/31/2024 21:51,365
V1165 Tau,38010,+05 43 39.1,+25 26 22.4,6.82,B1Vpe,39,1,1,12/27/2024 22:00,120
141 Tau,40724,+06 01 41.6,+22 24 03.6,6.36,B8IVe,1,1,0,3/7/2024 21:52,365
V696 Mon,41335,+06 04 13.5,-06 42 32.2,5.25,B2Vne,70,2,0,9/15/2024 8:57,365
HD 42477,42477,+06 11 27.9,+13 38 18.8,6.04,A0Vnne,29,1,0,9/16/2024 8:02,365
69 Ori,42545,+06 12 03.3,+16 07 49.5,4.95,B5Vne,142,6,1,12/24/2024 2:12,1
HD 43285,43285,+06 15 40.2,+06 03 58.2,6.05,B5IVe,26,2,0,9/17/2024 8:36,365
HD 43544,43544,+06 16 07.7,-16 37 04.8,5.96,B2.5Ve,17,2,0,9/17/2024 7:13,365
FR CMa,44458,+06 21 24.7,-11 46 23.7,5.59,B1Vpe,23,1,0,3/29/2024 1:38,365
HD 44783,44783,+06 24 02.3,+08 53 06.0,6.24,B9IIIe,34,1,0,9/21/2024 8:10,365
HD 44996,44996,+06 24 20.6,-12 57 43.0,6.12,B6.5Ve,37,2,0,9/22/2024 7:06,120
PZ Gem,45314,+06 27 15.8,+14 53 21.2,6.64,O9pe,138,19,7,1/30/2025 19:41,1
bet Mon A,45725,+06 28 49.1,-07 01 59.0,4.62,B3Ve,48,2,0,9/22/2024 9:18,365
nu Gem,45542,+06 28 57.8,+20 12 43.7,4.14,B6IIIe,129,4,1,12/26/2024 22:41,365
AX Mon,45910,+06 30 32.9,+05 52 01.2,6.74,B2IIIpshev,41,2,0,11/24/2024 5:38,120
HD 45995,45995,+06 31 09.6,+11 15 05.0,6.14,B2Vnne,28,1,0,9/25/2024 7:56,365
HD 47054,47054,+06 36 35.3,-05 12 40.1,5.57,B7IIIe,36,2,0,9/27/2024 8:07,365
15 Mon,47839,+06 40 58.7,+09 53 44.7,4.64,B1Ve,77,1,0,9/27/2024 9:15,365
V715 Mon,49567,+06 49 03.7,+01 00 07.4,6.15,B3IIIe,26,2,0,10/2/2024 8:47,365
V743 Mon,50138,+06 51 33.4,-06 57 59.5,6.58,B7IIIe,339,16,0,12/5/2024 3:50,365
V742 Mon,50083,+06 51 45.8,+05 05 03.9,6.92,B2IIIe,21,1,0,12/5/2024 5:00,365
HD 50820,50820,+06 54 42.0,-01 45 23.4,6.27,B3IVe,47,4,0,10/3/2024 8:51,120
HD 50658,50658,+06 56 32.1,+46 16 26.4,5.84,B8IIIe,49,2,0,3/18/2024 3:48,365
V644 Mon,51480,+06 57 09.4,-10 49 28.1,6.89,Ape,10,1,0,12/10/2024 6:45,365
FU CMa,52437,+07 00 19.4,-22 07 08.6,6.51,B3Vnne,8,2,0,11/23/2024 7:01,365
GU CMa,52721,+07 01 49.5,-11 18 03.3,6.58,B1.5Ve,20,1,0,11/24/2024 6:59,365
19 Mon,52918,+07 02 54.8,-04 14 21.2,4.99,B1Ve,105,2,0,4/10/2024 4:21,365
FV CMa,54309,+07 07 22.6,-23 50 26.6,5.71,B2Vnne,13,1,0,4/8/2024 2:00,365
HD 55271,55271,+07 11 20.9,-21 48 11.8,6.92,B5Ve,8,1,1,12/19/2024 2:58,365
HD 57682,57682,+07 22 02.1,-08 58 45.8,6.4,O9Ve,140,9,1,12/28/2024 3:02,6
OT Gem,58050,+07 24 27.6,+15 31 01.9,6.45,B2Ve,271,10,1,12/24/2024 3:57,1
FW CMa,58343,+07 24 40.2,-16 12 05.3,5.2,B2Vne,24,1,0,4/10/2024 1:25,365
FY CMa,58978,+07 26 59.5,-23 05 09.7,5.56,B1IIe,86,5,0,10/23/2024 7:22,365
bet CMi,58715,+07 27 09.0,+08 17 21.5,2.89,B8Ve,215,3,0,10/23/2024 8:30,365
V378 Pup,60855,+07 36 03.9,-14 29 34.0,5.66,B2.5Ve,30,5,0,10/25/2024 7:34,365
BN Gem,60848,+07 37 05.7,+16 54 15.3,6.92,O8Vpev,49,1,0,11/12/2024 5:21,365
HD 61224,61224,+07 37 38.8,-14 26 26.7,6.53,B8.5IVe,14,0,0,2/11/2024 6:33,365
V695 Mon,65875,+08 00 44.1,-02 52 54.9,6.51,B2.5Ve,37,3,0,4/20/2024 3:31,365
5 Cnc,65873,+08 01 30.3,+16 27 19.1,5.98,B9.5Vne,90,3,0,10/29/2024 8:11,365
V420 Pup,67698,+08 08 19.4,-23 37 04.0,6.53,B3IVe,16,2,0,12/2/2024 11:45,365
HD 70340,70340,+08 21 20.3,-01 36 07.3,6.5,A2Vnnpe,35,1,0,4/24/2024 1:28,365
HD 71072,71072,+08 25 00.4,-12 45 53.2,6.89,B4IIIe,38,3,0,12/6/2024 4:37,120
HD 79066,79066,+09 11 55.6,+05 28 07.1,6.35,A9IVe,106,7,0,11/2/2024 8:12,365
I Hya,83953,+09 41 17.0,-23 35 29.5,4.75,B5Ve,53,7,0,11/22/2024 13:06,365
OY Hya,86612,+09 59 06.3,-23 57 02.8,6.21,B5Ve,33,6,0,12/2/2024 13:03,365
17 Sex,88195,+10 10 07.5,-08 24 29.4,5.9,A1Ve,77,6,0,11/22/2024 13:27,365
HD 91120,91120,+10 30 59.8,-13 35 18.5,5.59,B8.5IVe,54,4,0,11/11/2024 7:47,365
phi Leo,98058,+11 16 39.7,-03 39 05.8,4.47,A7IVne,142,6,0,11/13/2024 8:26,365
PHECDA,103287,+11 53 49.8,+53 41 41.1,2.44,A0Ve,120,6,0,4/20/2024 19:18,365
zet Crv,107348,+12 20 33.6,-22 12 57.2,5.22,B8Ve,83,6,0,12/6/2024 5:29,90
kap Dra,109387,+12 33 28.9,+69 47 17.6,3.88,B6IIIpe,317,5,1,12/15/2024 4:56,365
HD 112028,112028,+12 49 13.6,+83 24 46.4,5.35,A1IIIshe,46,1,0,4/21/2024 20:49,365
CQ UMa,119213,+13 40 21.4,+57 12 27.4,6.29,A2Vspe,71,3,0,4/20/2024 20:39,365
